mir,gene
hsa-miR-200a-3p,KIAA2018
hsa-miR-200a-3p,CERK
hsa-miR-200a-3p,FAM72D
hsa-miR-200a-3p,EPHX4
hsa-miR-200a-3p,PDCD4
hsa-miR-200a-3p,AMMECR1
hsa-miR-200a-3p,SH3BGRL2
hsa-miR-200a-3p,GPAM
hsa-miR-200a-3p,ZBTB4
hsa-miR-200a-3p,FECH
hsa-miR-200a-3p,CDC14B
hsa-miR-200a-3p,HSD17B11
hsa-miR-200a-3p,SERPINB7
hsa-miR-200a-3p,CIT
hsa-miR-200a-3p,CCL22
hsa-miR-200a-3p,C3orf52
hsa-miR-200a-3p,BTAF1
hsa-miR-200a-3p,GLCE
hsa-miR-200a-3p,ZNF790
hsa-miR-200a-3p,IL1A
hsa-miR-200a-3p,PRR11
hsa-miR-200a-3p,NGDN
hsa-miR-200a-3p,RWDD2A
hsa-miR-200a-3p,BIN1
hsa-miR-200a-3p,PPARD
hsa-miR-200a-3p,CAB39
hsa-miR-200a-3p,SRPX2
hsa-miR-200a-3p,CDKN2AIP
hsa-miR-200a-3p,EFNA1
hsa-miR-200a-3p,DYRK1A
hsa-miR-200a-3p,SENP5
hsa-miR-200a-3p,MIB1
hsa-miR-200a-3p,RNFT2
hsa-miR-200a-3p,RHBDF2
hsa-miR-200a-3p,SLC25A15
hsa-miR-200a-3p,ZNF362
hsa-miR-200a-3p,EBP
hsa-miR-200a-3p,SLC7A1
hsa-miR-200a-3p,CCDC90B
hsa-miR-200a-3p,NCK2
hsa-miR-200a-3p,C10orf55
hsa-miR-200a-3p,NPC1
hsa-miR-200a-3p,WDR8
hsa-miR-200a-3p,HINT3
hsa-miR-200a-3p,KRT7
hsa-miR-200a-3p,MCAT
hsa-miR-200a-3p,ATP2B4
